customer_id,churn,ltv
CUST00000,0,10743.89
CUST00001,0,7642.6
CUST00002,1,10474.98
CUST00003,0,10153.26
CUST00004,0,8910.84
CUST00005,0,10180.81
CUST00006,0,7467.34
CUST00007,0,6569.63
CUST00008,0,6599.19
CUST00009,0,8894.65
CUST00010,0,7703.18
CUST00011,0,10353.27
CUST00012,0,9395.64
CUST00013,1,9428.77
CUST00014,0,8321.27
CUST00015,1,11095.74
CUST00016,0,8138.06
CUST00017,0,8782.44
CUST00018,0,8896.75
CUST00019,0,7617.64
CUST00020,0,10234.73
CUST00021,1,10401.43
CUST00022,0,9321.53
CUST00023,0,9068.24
CUST00024,0,8931.53
CUST00025,0,9082.93
CUST00026,1,10403.25
CUST00027,0,7898.21
CUST00028,0,9297.38
CUST00029,0,9230.51
CUST00030,0,7479.74
CUST00031,0,10523.2
CUST00032,1,7396.67
CUST00033,0,8343.14
CUST00034,0,9202.56
CUST00035,0,7296.04
CUST00036,0,8123.59
CUST00037,1,11153.66
CUST00038,1,10303.89
CUST00039,0,8097.94
CUST00040,0,8936.17
CUST00041,0,6856.53
CUST00042,0,9179.72
CUST00043,0,9491.83
CUST00044,0,6684.85
CUST00045,0,11472.16
CUST00046,0,7947.01
CUST00047,0,6450.73
CUST00048,0,8361.21
CUST00049,0,9473.93
CUST00050,0,8397.08
CUST00051,0,8813.86
CUST00052,0,9586.39
CUST00053,0,7092.18
CUST00054,0,7262.43
CUST00055,0,8734.51
CUST00056,0,8358.64
CUST00057,0,8975.24
CUST00058,0,9322.81
CUST00059,0,8300.13
CUST00060,1,8499.74
CUST00061,0,8160.91
CUST00062,0,10095.26
CUST00063,0,8394.51
CUST00064,0,8870.93
CUST00065,0,9823.93
CUST00066,0,9458.13
CUST00067,0,9280.79
CUST00068,0,7773.53
CUST00069,1,6721.77
CUST00070,0,7783.89
CUST00071,0,12553.32
CUST00072,0,8898.36
CUST00073,0,9339.05
CUST00074,0,9611.4
CUST00075,0,8444.38
CUST00076,0,8626.1
CUST00077,0,8138.15
CUST00078,0,7486.91
CUST00079,0,8798.46
CUST00080,0,6686.38
CUST00081,0,8124.37
CUST00082,0,6508.67
CUST00083,0,6885.63
CUST00084,0,9508.82
CUST00085,0,11071.73
CUST00086,0,5860.72
CUST00087,0,8143.56
CUST00088,0,9591.62
CUST00089,0,9156.37
CUST00090,0,8295.78
CUST00091,0,8245.82
CUST00092,0,9097.43
CUST00093,0,6640.49
CUST00094,0,7840.75
CUST00095,0,10654.6
CUST00096,0,9795.11
CUST00097,0,8750.48
CUST00098,0,10997.69
CUST00099,0,7641.49
CUST00100,0,10603.28
CUST00101,0,6808.51
CUST00102,0,9795.16
CUST00103,0,7226.13
CUST00104,0,8230.8
CUST00105,0,9080.34
CUST00106,0,8030.6
CUST00107,0,7825.86
CUST00108,0,8503.2
CUST00109,0,8547.96
CUST00110,0,8407.49
CUST00111,0,8635.06
CUST00112,0,8850.43
CUST00113,0,7640.77
CUST00114,0,9497.7
CUST00115,0,6637.26
CUST00116,0,8162.97
CUST00117,0,7211.34
CUST00118,0,8360.78
CUST00119,0,8682.31
CUST00120,0,8561.78
CUST00121,0,9380.27
CUST00122,0,6701.74
CUST00123,0,8936.31
CUST00124,0,9585.91
CUST00125,0,10526.42
CUST00126,0,7290.65
CUST00127,0,8061.59
CUST00128,0,10034.26
CUST00129,1,7934.8
CUST00130,0,8827.86
CUST00131,0,8706.87
CUST00132,0,9835.74
CUST00133,0,9947.33
CUST00134,1,9612.04
CUST00135,0,13024.09
CUST00136,1,8151.04
CUST00137,0,7242.3
CUST00138,0,9146.63
CUST00139,0,9977.79
CUST00140,0,6370.58
CUST00141,0,7477.96
CUST00142,0,8801.55
CUST00143,0,10337.43
CUST00144,0,7994.48
CUST00145,0,7953.26
CUST00146,0,7463.46
CUST00147,1,6192.23
CUST00148,0,10757.07
CUST00149,1,9006.51
CUST00150,0,8649.2
CUST00151,0,8915.14
CUST00152,0,8135.4
CUST00153,0,7932.17
CUST00154,1,8149.87
CUST00155,0,10566.59
CUST00156,0,8336.64
CUST00157,0,9447.95
CUST00158,0,6948.13
CUST00159,0,7936.9
CUST00160,0,9204.88
CUST00161,1,7748.29
CUST00162,0,7593.26
CUST00163,0,8033.13
CUST00164,0,8096.14
CUST00165,1,8756.26
CUST00166,0,9295.18
CUST00167,0,8600.15
CUST00168,0,8565.23
CUST00169,0,7502.69
CUST00170,0,8481.45
CUST00171,0,9448.16
CUST00172,0,8692.93
CUST00173,0,9361.41
CUST00174,0,11260.44
CUST00175,0,8132.32
CUST00176,1,8419.36
CUST00177,0,7179.75
CUST00178,0,8961.15
CUST00179,0,9586.09
CUST00180,0,7550.98
CUST00181,0,6649.11
CUST00182,0,7548.32
CUST00183,0,7273.99
CUST00184,0,8481.59
CUST00185,1,6891.97
CUST00186,0,8904.72
CUST00187,0,10090.12
CUST00188,0,8916.15
CUST00189,0,8696.65
CUST00190,0,7628.2
CUST00191,0,9827.89
CUST00192,0,7783.7
CUST00193,0,8862.57
CUST00194,0,7296.45
CUST00195,0,8340.64
CUST00196,0,9175.71
CUST00197,0,8462.06
CUST00198,0,8374.1
CUST00199,0,7357.61
CUST00200,0,7923.35
CUST00201,0,7514.14
CUST00202,0,5038.17
CUST00203,0,9251.43
CUST00204,0,11527.61
CUST00205,0,8449.62
CUST00206,1,8098.07
CUST00207,0,9271.06
CUST00208,0,9958.94
CUST00209,0,8982.76
CUST00210,0,8393.61
CUST00211,0,6587.15
CUST00212,1,7797.99
CUST00213,0,9502.24
CUST00214,0,7893.92
CUST00215,0,7677.88
CUST00216,1,7737.16
CUST00217,0,7019.39
CUST00218,0,8016.37
CUST00219,0,8454.81
CUST00220,0,8604.47
CUST00221,1,7744.3
CUST00222,0,9441.25
CUST00223,1,9744.2
CUST00224,0,6238.29
CUST00225,0,10041.38
