customer_id,txn_date,amount,category
CUST00996,2024-03-07,218.25,Dining
CUST00996,2024-12-22,29.69,Electronics
CUST00996,2024-03-09,22.26,Electronics
CUST00996,2024-08-10,110.71,Grocery
CUST00996,2025-05-17,42.07,Travel
CUST00996,2024-02-05,26.07,Dining
CUST00996,2024-12-18,162.76,Clothing
CUST00996,2025-05-30,119.12,Electronics
CUST00996,2024-05-31,38.01,Clothing
CUST00996,2025-08-01,75.7,Travel
CUST00996,2024-05-02,134.29,Electronics
CUST00996,2025-07-15,50.73,Grocery
CUST00996,2024-02-17,56.49,Electronics
CUST00996,2025-05-08,92.43,Grocery
CUST00996,2025-07-29,31.11,Travel
CUST00996,2024-06-08,221.88,Travel
CUST00997,2025-06-26,40.15,Electronics
CUST00997,2025-06-09,29.7,Travel
CUST00997,2025-02-13,11.64,Grocery
CUST00997,2025-03-09,212.31,Travel
CUST00997,2025-06-03,159.07,Dining
CUST00997,2025-03-05,108.75,Travel
CUST00997,2025-03-11,42.33,Dining
CUST00997,2025-06-18,51.17,Grocery
CUST00997,2025-05-05,22.16,Electronics
CUST00997,2025-04-07,209.14,Clothing
CUST00997,2025-03-07,16.15,Grocery
CUST00997,2025-02-28,138.41,Clothing
CUST00997,2025-02-01,52.49,Grocery
CUST00997,2025-04-07,116.96,Clothing
CUST00997,2025-04-28,44.63,Travel
CUST00997,2025-03-04,60.32,Dining
CUST00997,2025-03-21,66.96,Dining
CUST00997,2025-03-03,27.69,Electronics
CUST00997,2025-05-19,112.79,Clothing
CUST00997,2025-07-29,41.16,Clothing
CUST00997,2025-04-14,109.62,Dining
CUST00997,2025-07-09,103.75,Grocery
CUST00997,2025-04-17,26.09,Electronics
CUST00997,2025-06-29,39.52,Dining
CUST00997,2025-06-01,10.71,Dining
CUST00997,2025-02-27,25.04,Grocery
CUST00997,2025-05-25,42.79,Clothing
CUST00997,2025-07-27,254.46,Travel
CUST00997,2025-06-25,35.54,Clothing
CUST00997,2025-03-18,56.34,Travel
CUST00997,2025-02-13,27.09,Electronics
CUST00997,2025-04-25,74.22,Dining
CUST00997,2025-02-23,22.44,Grocery
CUST00997,2025-06-20,120.86,Dining
CUST00997,2025-05-13,22.58,Travel
CUST00997,2025-02-05,66.48,Electronics
CUST00997,2025-01-20,89.8,Clothing
CUST00997,2025-07-16,134.11,Clothing
CUST00997,2025-07-06,131.98,Clothing
CUST00997,2025-05-01,188.12,Electronics
CUST00997,2025-03-09,60.23,Dining
CUST00997,2025-04-07,43.82,Travel
CUST00997,2025-04-21,155.72,Travel
CUST00997,2025-05-15,229.34,Electronics
CUST00997,2025-05-21,366.11,Electronics
CUST00997,2025-06-02,32.39,Electronics
CUST00997,2025-02-01,66.05,Travel
CUST00997,2025-05-11,59.16,Travel
CUST00997,2025-05-16,32.27,Grocery
CUST00997,2025-07-28,129.73,Clothing
CUST00997,2025-04-21,29.7,Dining
CUST00997,2025-04-13,99.11,Grocery
CUST00997,2025-04-20,114.36,Electronics
CUST00997,2025-04-21,46.45,Electronics
CUST00997,2025-06-23,17.66,Clothing
CUST00997,2025-06-14,54.23,Clothing
CUST00997,2025-03-15,149.41,Clothing
