customer_id,txn_date,amount,category
CUST04502,2022-07-22,145.51,Electronics
CUST04502,2025-03-21,23.08,Clothing
CUST04502,2023-08-19,13.78,Grocery
CUST04502,2022-05-29,158.65,Electronics
CUST04502,2023-05-23,196.03,Electronics
CUST04502,2025-04-05,166.19,Dining
CUST04502,2025-06-28,35.79,Electronics
CUST04502,2023-08-18,217.64,Travel
CUST04502,2022-08-16,61.79,Travel
CUST04502,2025-07-14,220.42,Clothing
CUST04502,2024-10-10,50.17,Travel
CUST04502,2023-11-16,19.46,Clothing
CUST04502,2023-12-07,6.24,Electronics
CUST04502,2023-03-04,164.41,Dining
CUST04502,2022-09-08,43.25,Grocery
CUST04502,2024-05-08,20.15,Electronics
CUST04502,2024-07-13,15.35,Electronics
CUST04502,2022-12-17,289.9,Dining
CUST04502,2022-10-16,89.16,Grocery
CUST04502,2022-03-31,128.06,Clothing
CUST04502,2021-12-29,89.72,Grocery
CUST04502,2024-03-29,31.59,Dining
CUST04502,2024-10-17,170.93,Grocery
CUST04502,2022-07-10,65.06,Travel
CUST04502,2024-05-18,209.81,Travel
CUST04502,2024-11-07,292.44,Grocery
CUST04502,2022-05-14,29.29,Grocery
CUST04502,2022-09-01,109.55,Clothing
CUST04502,2022-08-31,27.04,Electronics
CUST04502,2023-05-02,87.16,Grocery
CUST04502,2025-02-10,98.9,Travel
CUST04502,2022-10-04,13.57,Grocery
CUST04502,2022-05-06,117.09,Electronics
CUST04502,2023-09-28,44.75,Travel
CUST04502,2025-04-27,91.46,Grocery
CUST04502,2022-02-24,14.48,Clothing
CUST04502,2022-01-23,17.55,Grocery
CUST04502,2025-07-17,52.9,Electronics
CUST04502,2023-12-03,38.01,Grocery
CUST04502,2023-02-26,71.81,Electronics
CUST04502,2025-05-21,6.27,Clothing
CUST04502,2025-06-19,63.97,Grocery
CUST04502,2022-03-28,30.76,Dining
CUST04502,2023-04-25,180.69,Travel
CUST04503,2025-07-06,40.29,Electronics
CUST04503,2025-07-11,167.3,Grocery
CUST04503,2025-06-21,107.93,Travel
CUST04503,2025-07-13,12.57,Clothing
CUST04503,2025-07-28,20.6,Electronics
CUST04503,2025-07-19,42.57,Travel
CUST04503,2025-07-07,48.48,Clothing
CUST04503,2025-07-01,152.64,Electronics
CUST04503,2025-07-08,9.74,Electronics
CUST04503,2025-06-22,193.74,Electronics
CUST04503,2025-06-17,504.68,Travel
CUST04503,2025-07-27,105.32,Electronics
CUST04503,2025-06-22,67.28,Dining
CUST04503,2025-07-01,15.95,Dining
CUST04503,2025-06-18,145.39,Travel
CUST04503,2025-07-28,6.22,Electronics
CUST04503,2025-06-26,103.4,Travel
CUST04503,2025-06-16,70.9,Grocery
CUST04503,2025-06-20,236.33,Dining
CUST04503,2025-06-19,100.22,Clothing
CUST04503,2025-07-24,8.15,Clothing
CUST04503,2025-06-25,51.69,Clothing
CUST04503,2025-07-21,375.7,Grocery
CUST04503,2025-07-25,25.87,Clothing
CUST04503,2025-07-30,129.63,Clothing
CUST04503,2025-07-14,20.85,Clothing
CUST04503,2025-07-10,174.28,Grocery
CUST04503,2025-07-17,7.53,Grocery
CUST04503,2025-07-17,5.58,Grocery
CUST04503,2025-07-19,202.74,Grocery
CUST04503,2025-06-21,322.07,Electronics
