customer_id,txn_date,amount,category
CUST04752,2023-07-17,487.19,Grocery
CUST04752,2024-04-15,112.8,Grocery
CUST04752,2023-08-18,146.32,Travel
CUST04752,2022-11-12,84.57,Electronics
CUST04752,2024-04-27,93.6,Travel
CUST04752,2021-02-08,95.48,Clothing
CUST04752,2024-09-26,20.44,Dining
CUST04752,2022-09-03,150.29,Grocery
CUST04752,2020-11-15,76.52,Dining
CUST04752,2023-03-02,172.33,Dining
CUST04752,2025-07-14,68.35,Grocery
CUST04752,2025-07-26,17.36,Travel
CUST04752,2022-05-01,807.65,Electronics
CUST04752,2022-05-29,154.69,Electronics
CUST04752,2022-03-05,43.2,Dining
CUST04752,2023-07-10,11.33,Grocery
CUST04752,2025-01-28,49.53,Grocery
CUST04752,2024-01-19,20.06,Clothing
CUST04752,2023-02-17,9.93,Clothing
CUST04752,2020-12-08,6.81,Dining
CUST04752,2024-10-16,94.76,Electronics
CUST04752,2023-01-26,12.69,Dining
CUST04752,2024-07-28,129.26,Travel
CUST04752,2020-10-02,51.7,Dining
CUST04752,2024-11-19,153.56,Grocery
CUST04752,2024-09-23,122.92,Dining
CUST04752,2024-04-11,84.29,Grocery
CUST04752,2023-05-12,20.44,Travel
CUST04752,2024-01-07,39.94,Travel
CUST04752,2021-06-10,101.69,Clothing
CUST04752,2022-08-12,67.03,Clothing
CUST04752,2025-07-13,67.78,Dining
CUST04752,2025-04-14,24.59,Grocery
CUST04752,2020-10-26,96.2,Clothing
CUST04752,2023-04-08,16.26,Clothing
CUST04752,2021-04-16,29.45,Grocery
CUST04752,2024-05-17,176.15,Grocery
CUST04752,2024-05-28,17.0,Clothing
CUST04752,2022-09-02,30.51,Travel
CUST04752,2021-07-20,6.3,Travel
CUST04752,2021-10-28,106.0,Clothing
CUST04752,2024-01-14,24.45,Clothing
CUST04752,2021-12-02,242.48,Clothing
CUST04752,2022-09-23,6.64,Grocery
CUST04752,2021-11-21,74.09,Dining
CUST04752,2024-08-01,120.81,Electronics
CUST04752,2024-11-05,138.74,Grocery
CUST04752,2022-01-08,38.5,Electronics
CUST04752,2024-09-18,21.36,Dining
CUST04752,2022-05-15,23.41,Electronics
CUST04752,2020-10-12,105.33,Clothing
CUST04752,2021-06-13,90.32,Clothing
CUST04752,2021-10-25,28.74,Travel
CUST04752,2023-08-22,54.48,Clothing
CUST04752,2022-08-19,21.38,Travel
CUST04752,2023-03-24,60.27,Grocery
CUST04752,2023-12-19,52.55,Dining
CUST04752,2025-07-13,74.49,Dining
CUST04752,2022-12-21,101.58,Electronics
CUST04752,2021-12-09,74.82,Grocery
CUST04752,2024-08-29,12.28,Travel
CUST04752,2023-07-01,42.16,Clothing
CUST04752,2022-06-24,28.05,Clothing
CUST04752,2023-11-21,251.24,Clothing
CUST04752,2025-05-10,245.76,Clothing
CUST04752,2023-10-30,79.28,Dining
CUST04752,2022-02-05,69.24,Grocery
CUST04752,2022-06-10,312.01,Travel
CUST04752,2023-08-12,82.25,Dining
CUST04752,2020-10-30,40.09,Travel
CUST04752,2021-11-30,29.98,Travel
CUST04752,2023-01-15,67.44,Travel
CUST04752,2025-06-16,32.5,Electronics
CUST04752,2022-06-26,26.08,Travel
CUST04752,2021-12-08,55.95,Grocery
CUST04752,2024-08-17,95.42,Grocery
CUST04752,2024-04-12,23.43,Dining
CUST04752,2024-11-27,66.79,Electronics
CUST04752,2022-09-29,202.34,Clothing
CUST04752,2020-11-03,85.98,Electronics
CUST04752,2024-04-30,208.48,Electronics
CUST04752,2025-05-07,157.12,Clothing
CUST04752,2022-08-19,26.33,Electronics
CUST04752,2025-02-04,25.52,Grocery
CUST04752,2021-05-18,35.97,Electronics
CUST04752,2020-11-19,128.98,Grocery
CUST04752,2024-09-23,62.58,Clothing
CUST04753,2022-11-02,90.46,Electronics
CUST04753,2023-07-11,69.69,Dining
CUST04753,2024-11-08,68.62,Grocery
CUST04753,2024-04-03,21.2,Electronics
CUST04753,2022-01-20,114.99,Electronics
CUST04753,2025-04-29,141.77,Clothing
CUST04753,2024-06-24,73.69,Electronics
CUST04753,2021-12-03,14.52,Travel
CUST04753,2023-11-09,30.89,Grocery
CUST04753,2023-12-03,10.96,Travel
